unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,B-E,EMP_DC,LU	37.05 	36.53 	36.10 	36.15 	36.89 	37.32 	37.07 	37.33 	38.24 	37.75 	37.95 	37.99 	37.96 	38.04 	37.83 	38.31 	37.66 	37.23 	36.63 	36.53 	35.78 	36.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,LV	138.33 	139.96 	141.43 	148.91 	148.01 	142.20 	138.44 	141.67 	177.31 	178.47 	182.52 	182.99 	185.76 	189.54 	185.52 	181.60 	172.71 	178.75 e	182.01 e	182.69 e	174.90 e	173.94 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,MK	: 	: 	141.86 	135.65 	128.27 	130.38 	127.77 	132.73 	139.70 	135.30 	131.62 	130.59 	129.99 	134.07 	148.31 	157.33 	163.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,MT	24.27 	24.50 b	25.54 b	25.63 	25.25 	26.04 	25.62 	25.57 	27.62 	29.31 	29.83 	30.61 	31.04 	33.15 	35.24 	36.53 	36.51 	38.00 	37.94 	38.56 	38.23 	39.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,NL	836.00 p	834.00 p	831.00 p	835.00 	848.00 	857.00 	863.00 	885.00 	909.00 	905.00 	904.00 	911.00 	928.00 	958.00 	989.00 	1010.00 	1009.00 	1005.00 	1005.00 	997.00 	986.00 	1000.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,NO	319.00 	337.00 	350.00 	347.00 	341.00 	333.00 	331.00 	340.00 	350.00 	341.00 	327.00 	308.00 	302.00 	311.00 	322.00 	325.00 	331.00 	341.00 	353.00 	347.00 	332.00 	329.00 	322.00 	316.00 	310.00 	314.00 	324.00 	333.00 	355.00 	369.00 	369.00 	366.00 	361.00 	362.00 	380.00 	392.00 	394.00 	392.00 	395.00 	401.00 	399.00 	399.00 
THS_PER,B-E,EMP_DC,PL	3814.10 p	3676.30 	3620.80 	3536.60 	3454.80 	3458.90 	3403.80 b	3607.20 	3784.80 	3634.20 	3466.20 	3313.80 	3205.30 	3089.50 	3093.10 	3373.20 	3538.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,PT	786.67 e	773.50 e	748.09 	733.99 	748.26 	776.93 	790.55 	811.00 	879.77 	903.61 	924.03 	937.60 	977.50 	1018.38 	1055.67 	1088.84 	1095.15 	1106.06 	1107.28 	1099.11 	1082.87 	1070.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,RO	1814.60 p	1765.90 p	1836.50 	1770.30 	1770.70 b	1961.50 	1931.60 	2008.00 	2217.90 	2247.20 	2331.60 	2328.60 	2493.00 	2403.90 	2491.10 	2339.00 	2365.40 	2502.60 	2664.30 	2925.50 	2928.70 	2931.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,SE	641.90 	646.00 	649.00 	654.20 	665.50 	676.10 	666.20 	676.80 	743.00 	740.30 	722.60 	727.40 	734.60 	765.90 	782.90 	800.40 	786.70 	783.70 	788.10 	770.60 	771.80 	774.90 	733.80 	739.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,SI	217.80 	211.96 	210.09 	209.50 	213.61 	216.02 	216.48 	229.27 	251.02 	251.90 	249.77 	253.51 	258.25 	260.29 	265.75 	269.86 	269.72 	270.28 	271.93 	275.07 	285.33 	301.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,SK	556.62 	537.91 	527.16 	518.05 	524.83 	529.66 	511.76 	530.92 	591.67 	573.28 	566.11 	556.58 	556.03 	568.29 	561.80 	572.13 	571.05 	588.93 	618.57 	642.18 	642.47 	627.73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,B-E,EMP_DC,UK	2862.54 	2879.40 	2845.33 	2839.94 	2857.04 	2819.61 	2811.11 	2852.13 	3031.88 	3098.39 	3172.00 	3217.76 	3352.42 	3496.89 	3695.38 	3875.96 	4052.52 	4188.94 	4351.29 	4377.05 	4360.72 	4306.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
