unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,F,EMP_DC,MK	: 	: 	59.21 	64.15 	63.59 	62.36 	63.07 	58.87 	60.98 	62.35 	67.46 	62.79 	64.01 	54.94 	43.33 	36.99 	39.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,MT	11.81 	11.69 	11.33 	11.25 	11.49 	11.50 	11.18 	11.73 	12.04 	11.72 	11.31 	10.83 	10.23 	9.88 	9.86 	10.20 	9.73 	9.50 	9.93 	10.16 	10.01 	10.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,NL	454.00 p	457.00 p	462.00 p	478.00 	509.00 	522.00 	523.00 	549.00 	555.00 	546.00 	529.00 	524.00 	525.00 	534.00 	558.00 	561.00 	553.00 	541.00 	526.00 	519.00 	503.00 	496.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,NO	227.00 	221.00 	216.00 	211.00 	205.00 	194.00 	187.00 	190.00 	199.00 	193.00 	177.00 	163.00 	155.00 	152.00 	142.00 	138.00 	135.00 	135.00 	131.00 	121.00 	110.00 	103.00 	96.00 	94.00 	101.00 	105.00 	125.00 	134.00 	148.00 	149.00 	141.00 	129.00 	127.00 	125.00 	125.00 	122.00 	127.00 	121.00 	124.00 	120.00 	118.00 	117.00 
THS_PER,F,EMP_DC,PL	1164.20 p	1156.30 	1134.20 	1144.10 	1211.20 	1246.40 	1220.70 b	1280.80 	1212.30 	1047.00 	914.80 	839.90 	797.40 	796.90 	845.30 	951.20 	664.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,PT	285.15 e	274.03 e	269.89 	283.28 	315.34 	395.66 	436.38 	455.32 	501.05 	516.09 	511.03 	521.81 	537.40 	561.23 	593.66 	567.32 	579.41 	524.83 	500.38 	454.31 	427.37 	418.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,RO	648.90 p	604.50 p	634.50 	626.10 	633.00 b	677.10 	701.60 	724.40 	733.10 	699.50 	680.00 	639.10 	634.40 	536.60 	539.10 	541.10 	528.20 	537.00 	557.50 	603.90 	606.60 	627.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,SE	353.00 	340.40 	332.30 	324.30 	321.30 	315.70 	301.00 	294.50 	296.40 	277.40 	257.00 	242.90 	235.10 	233.40 	237.30 	235.20 	221.50 	215.10 	204.20 	200.90 	207.40 	213.80 	208.30 	223.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,SI	62.09 	62.55 	62.29 	62.96 	67.70 	73.23 	82.97 	91.28 	92.14 	82.14 	72.81 	68.34 	66.21 	67.26 	67.39 	67.46 	66.98 	63.39 	59.01 	59.01 	58.42 	58.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,SK	168.49 	163.15 	164.15 	166.55 	171.76 	177.31 	183.76 	187.47 	180.98 	165.62 	159.30 	151.98 	139.64 	137.14 	124.94 	119.81 	121.93 	131.26 	139.71 	144.17 	146.03 	137.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,F,EMP_DC,UK	2211.74 	2135.63 	2083.85 	2016.55 	2016.00 	2032.47 	2055.56 	2174.81 	2280.07 	2271.65 	2201.92 	2172.22 	2115.06 	2048.57 	1988.51 	1945.30 	1905.75 	1888.52 	1866.48 	1828.30 	1832.32 	1855.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
