unit,nace_r2,na_item,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
THS_PER,C,EMP_DC,LU	32.54 	32.15 	31.83 	31.92 	32.57 	33.06 	32.74 	32.99 	34.10 	33.69 	33.99 	34.09 	34.13 	34.24 	34.06 	34.58 	34.03 	33.75 	33.20 	33.16 	32.53 	32.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,LV	117.13 	118.54 	120.02 	126.33 	126.25 	120.56 	116.72 	117.78 	151.77 	155.16 	159.44 	158.35 	160.17 	164.28 	160.59 	154.87 	148.20 	153.39 e	156.20 e	156.78 e	150.09 e	149.26 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,MK	: 	: 	119.52 	113.59 	106.65 	109.01 	106.93 	111.79 	118.27 	113.95 	110.90 	110.49 	109.62 	113.40 	124.12 	133.11 	138.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,MT	22.21 	22.49 	22.51 	22.13 	21.83 	22.45 	22.16 	21.99 	23.94 	25.41 	25.88 	26.53 	26.95 	28.89 	30.10 	31.39 	31.57 	32.65 	32.46 	32.85 	33.29 	34.84 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,NL	769.00 p	767.00 p	765.00 p	769.00 	783.00 	792.00 	799.00 	822.00 	847.00 	844.00 	845.00 	850.00 	866.00 	895.00 	926.00 	948.00 	949.00 	945.00 	943.00 	937.00 	924.00 	938.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,NO	233.00 	243.00 	251.00 	251.00 	248.00 	246.00 	247.00 	258.00 	270.00 	265.00 	259.00 	245.00 	241.00 	251.00 	262.00 	267.00 	275.00 	284.00 	295.00 	289.00 	277.00 	273.00 	266.00 	260.00 	256.00 	261.00 	270.00 	280.00 	302.00 	316.00 	316.00 	314.00 	312.00 	315.00 	334.00 	347.00 	352.00 	353.00 	358.00 	367.00 	367.00 	368.00 
THS_PER,C,EMP_DC,PL	3243.80 p	3093.70 	3004.80 	2941.00 	2878.80 	2892.40 	2855.90 b	3044.40 	3213.00 	3068.90 	2901.10 	2762.50 	2672.80 	2593.70 	2575.10 	2832.50 	2918.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,PT	726.38 e	714.22 e	688.91 	673.72 	686.20 	713.32 	727.38 	747.04 	816.73 	841.32 	860.92 	874.63 	912.76 	952.32 	991.83 	1023.14 	1028.71 	1039.14 	1039.29 	1030.23 	1016.98 	1004.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,RO	1581.80 p	1535.90 p	1570.10 	1508.20 	1505.70 b	1633.40 	1601.90 	1715.40 	1900.30 	1948.80 	2022.40 	2018.20 	2157.60 	2067.40 	2121.90 	1982.00 	1999.40 	2075.60 	2217.90 	2448.90 	2453.00 	2465.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,SE	575.30 	580.00 	583.20 	589.80 	603.00 	614.40 	606.80 	617.00 	683.00 	682.30 	666.00 	672.70 	679.70 	711.70 	732.40 	751.70 	738.30 	735.10 	738.70 	721.70 	722.90 	724.40 	682.80 	685.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,SI	196.95 	190.92 	188.33 	187.95 	191.99 	194.97 	195.69 	208.51 	230.44 	231.51 	229.61 	233.41 	238.33 	240.03 	245.53 	249.35 	249.02 	248.40 	249.92 	252.67 	262.35 	276.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,SK	509.48 	490.67 	479.09 	469.50 	476.50 	479.85 	461.46 	479.62 	537.78 	516.45 	506.28 	496.10 	494.47 	504.04 	491.36 	499.54 	495.41 	511.74 	537.81 	565.06 	565.29 	552.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PER,C,EMP_DC,UK	2487.44 	2502.48 	2481.41 	2467.09 	2483.55 	2464.45 	2476.24 	2535.15 	2711.80 	2788.65 	2882.46 	2938.51 	3079.92 	3212.97 	3403.99 	3578.24 	3758.78 	3896.39 	4047.78 	4071.96 	4061.66 	4005.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
