unit,coico,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,C083,UK	27962.7 	27369.0 	26199.3 	26244.0 	25521.6 	26032.6 	26427.0 	25888.9 	26721.1 	25411.8 	24121.4 	24014.3 	22154.7 	20258.4 	18865.0 	18427.2 	15782.7 	13197.9 	11587.7 	10495.2 	9482.7 	8947.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,AT	0 	2172.9 	2220.7 	2469.8 	2667.5 	2695.0 	2712.9 	3001.2 	3109.0 	3085.6 	3059.9 	3219.8 	2909.5 	2724.1 	2489.9 	2330.0 	2210.7 	1824.7 	1515.7 	1280.1 	1181.4 	1126.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,BE	0 	4932.1 	5052.7 	4993.1 	4851.6 	4391.0 	4427.8 	4261.9 	4087.8 	4037.0 	3883.8 	3943.0 	3885.3 	3801.7 	3429.7 	3066.9 	2600.0 	2311.2 	1966.7 	1763.9 	1637.0 	1619.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,BG	0 	3275.0 	3153.9 	3015.2 	3098.3 	2880.3 	2826.0 	2741.7 	2581.1 	1899.9 	1423.8 	1153.5 	1084.5 	1100.3 	1043.5 	951.4 	972.3 	879.0 	777.9 	764.5 	760.2 	529.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,CY	0 	395.7 	385.2 	398.6 	410.4 	415.9 	400.1 	375.4 	377.1 	340.4 	326.7 	302.5 	302.5 	294.8 	228.7 	213.0 	189.5 	152.8 	117.3 	101.7 	90.0 	77.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,CZ	0 	72817.4 	71166.2 	64600.3 	56123.6 	56040.7 	55871.9 	56114.6 	52763.3 	50664.6 	48854.6 	44797.0 	47164.4 	46261.4 	39970.3 	33638.2 	27764.6 	25550.1 	25641.0 	27845.5 	28996.3 	26490.0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,DE	0 	42222.5 	40472.6 	39504.1 	39604.9 	37412.2 	36004.5 	34841.5 	33765.0 	33282.5 	33390.5 	32152.0 	30830.6 	29091.6 	28335.5 	28036.7 	22095.9 	17494.6 	14621.4 	13710.5 	11762.7 	11658.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,DK	0 	25536.1 	21412.9 	18270.5 	19291.8 	17635.4 	17554.3 	16418.7 	17718.8 	16178.0 	14066.3 	13772.0 	13828.0 	12542.2 	10570.0 	10156.5 	9339.0 	8653.8 	7936.4 	7511.0 	6657.8 	6449.3 	6414.7 	5910.6 	5942.8 	5319.6 	5183.7 	5362.5 	5088.4 	4947.8 	4823.8 	4541.4 	4253.0 	3883.6 	3942.0 	3859.8 	3629.8 	3452.2 	3186.5 	3010.1 	2756.3 	2466.7 
CLV05_MNAC,C083,EE	0 	348.6 	347.9 	320.4 	282.4 	268.9 	260.5 	276.1 	293.3 	191.3 	173.0 	147.6 	132.1 	118.4 	103.9 	100.5 	80.3 	68.6 	67.3 	62.0 	59.3 	44.2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,EL	0 	5649.9 	5737.5 	6042.0 	5299.0 	5925.1 	6943.4 	7148.8 	6016.8 	5444.0 	5291.4 	4067.2 	3642.5 	3600.9 	3765.0 	3192.7 	2605.4 	2268.7 	1551.1 	1355.8 	962.1 	821.5 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,ES	0 	16992.1 	16825.2 	16733.8 	17085.6 	17524.8 	17295.6 	17049.4 	16890.6 	15763.9 	14415.0 	13225.0 	12023.9 	10587.6 	10397.7 	9168.4 	7693.0 	6564.3 	5744.1 	4988.3 	4482.7 	3884.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,FI	0 	2350.8 	2296.3 	2293.2 	2208.3 	2283.8 	2183.2 	1999.9 	2121.4 	1994.6 	2022.9 	1893.0 	1925.5 	1687.7 	1632.1 	1576.6 	1425.8 	1243.5 	1024.5 	834.9 	643.2 	511.2 	482.9 	478.7 	471.4 	456.8 	446.3 	409.6 	371.9 	332.1 	294.4 	272.4 	251.4 	240.9 	217.9 	201.1 	181.2 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,FR	45781.7 	45282.9 	44898.6 	44035.3 	39675.7 	36597.6 	35610.5 	33622.2 	32163.2 	30632.9 	28869.0 	26952.0 	25403.0 	24099.3 	22421.8 	19281.8 	16266.8 	12639.6 	10086.0 	8715.7 	8338.4 	7908.5 	7598.9 	7303.4 	6982.1 	6688.9 	6343.2 	5898.1 	5499.7 	5205.4 	4864.3 	4738.1 	4516.1 	4267.3 	3919.2 	3581.6 	3058.3 	2608.5 	2154.1 	1867.9 	1516.3 	1165.8 
CLV05_MNAC,C083,HU	0 	569385.0 	551380.0 	544885.0 	542562.0 	545587.0 	534890.0 	504835.0 	550676.0 	515215.0 	503627.0 	485063.0 	436898.0 	434951.0 	434505.0 	384857.0 	330409.0 	293973.0 	268353.0 	235178.0 	197022.0 	158169.0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,IS	14171.0 	13946.0 	13884.0 	13403.0 	12942.0 	11787.0 	12896.0 	13979.0 	15653.0 	14177.0 	12500.0 	12540.0 	12425.0 	11974.0 	11073.0 	9742.0 	8435.0 	6600.0 	3536.0 	1822.0 	1724.0 b	1649.0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,IT	0 	19605.0 	20370.2 	21039.5 	21904.3 	22560.2 	23207.8 	23117.7 	23448.5 	23487.5 	21454.5 	20643.1 	20121.8 	19467.0 	18575.5 	17162.2 	15371.6 	13699.7 	11763.0 	10688.2 	9873.8 	8914.9 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,LT	0 	1008.2 	968.8 	916.1 	808.2 	675.1 	648.0 	636.3 	507.2 	414.7 	346.1 	319.1 	308.1 	308.7 	291.5 	281.4 	245.3 	216.2 	217.3 	199.4 	105.6 	97.4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,LU	0 	362.4 	335.0 	324.9 	328.2 	296.7 	281.1 	253.2 	224.0 	208.6 	195.4 	177.9 	161.0 	144.7 	129.0 	113.9 	99.3 	89.1 	73.7 	67.8 	63.9 	62.7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
CLV05_MNAC,C083,LV	0 	636.0 	621.5 	633.9 	532.5 	474.4 	462.6 	463.7 	480.9 	444.6 	354.8 	248.3 	213.7 	163.4 	114.2 	83.3 	71.5 	72.8 	52.9 	44.1 	66.4 	85.4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
